target name	accession	query name	description of target
RrnaAD	PF00398.23	BGC0000094|c1|154-1122|+|AAC69327.1|rRNA_methyltransferase_PikR2|AAC69327.1	Ribosomal RNA adenine dimethylase              
Methyltransf_25	PF13649.9	BGC0000094|c1|154-1122|+|AAC69327.1|rRNA_methyltransferase_PikR2|AAC69327.1	Methyltransferase domain                
Methyltransf_23	PF13489.9	BGC0000094|c1|154-1122|+|AAC69327.1|rRNA_methyltransferase_PikR2|AAC69327.1	Methyltransferase domain                
Methyltransf_11	PF08241.15	BGC0000094|c1|154-1122|+|AAC69327.1|rRNA_methyltransferase_PikR2|AAC69327.1	Methyltransferase domain                
MTS	PF05175.17	BGC0000094|c1|154-1122|+|AAC69327.1|rRNA_methyltransferase_PikR2|AAC69327.1	Methyltransferase small domain               
NodS	PF05401.14	BGC0000094|c1|154-1122|+|AAC69327.1|rRNA_methyltransferase_PikR2|AAC69327.1	Nodulation protein S (NodS)              
RrnaAD	PF00398.23	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	Ribosomal RNA adenine dimethylase              
Methyltransf_25	PF13649.9	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	Methyltransferase domain                
MTS	PF05175.17	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	Methyltransferase small domain               
Methyltransf_2	PF00891.21	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	O-methyltransferase domain                
NodS	PF05401.14	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	Nodulation protein S (NodS)              
Methyltransf_11	PF08241.15	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	Methyltransferase domain                
Methyltransf_23	PF13489.9	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	Methyltransferase domain                
Spermine_synth	PF01564.20	BGC0000094|c1|1283-2293|-|AAC69328.1|rRNA_methyltransferase_PikR1|AAC69328.1	Spermine/spermidine synthase domain               
ketoacyl-synt	PF00109.29	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Acyl transferase domain               
Ketoacyl-synt_C	PF02801.25	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Beta-ketoacyl synthase, C-terminal domain              
KR	PF08659.13	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	KR domain                
PS-DH	PF14765.9	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Polyketide synthase dehydratase               
KAsynt_C_assoc	PF16197.8	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Phosphopantetheine attachment site               
adh_short	PF00106.28	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Thiolase, N-terminal domain               
Epimerase	PF01370.24	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	NAD dependent epimerase/dehydratase family              
